Brand Name,Grain Type,Price per Bag (Naira),City,Country,Customer Rating,Number of Reviews,Month Sold,Units Sold
Caprice,local,15620.16,Kumasi,Ghana,1,59,February,307
Sunshine,LOCAL,14979.21,Kumasi,Ghana,1,242,April,480
Royal Stallion,basmati,14207.81,Kumasi,Ghana,3,20,August,388
Caprice,basmati,24302.71,Kumasi,Ghana,4,109,October,116
Sunshine,BASMATI,10590.6,Kumasi,Ghana,2,207,November,602
Sunshine,long grain,22971.81,Kumasi,Ghana,4,95,March,737
Caprice,basmati,23229.94,Abuja,Nigeria,3,66,April,132
Mama Gold,local,14740.18,Accra,Ghana,1,271,May,672
Sunshine,long grain,19663.81,Accra,Ghana,4,177,September,475
Royal Stallion,long grain,19267.34,Accra,Ghana,3,7,December,101
Sunshine,long grain,9425.22,Kumasi,Ghana,3,245,March,339
King's Pride,long grain,8341.06,Kumasi,Ghana,2,126,October,570
Mama Gold,long grain,10685.4,Kumasi,Ghana,5,243,November,534
Mamma Gold,long grain,24182.47,Abuja,Nigeria,3,28,June,816
Mama Gold,long grain,17105.83,Abuja,Nigeria,1,186,September,629
Tommy Tasty,local,24732.76,Lagos,Nigeria,2,94,December,927
Uncle Sam,long grain,,Accra,Ghana,2,225,October,288
Caprice,local,14598.09,Abuja,Nigeria,5,11,December,800
Royal Stallion,local,12012.55,Kumasi,Ghana,2,205,April,894
Royal Stallion,long grain,16770.98,Kumasi,Ghana,3,6,February,442
Mama Gold,basmati,23638.85,Accra,Ghana,4,58,November,466
Mama Gold,long grain,23243.1,Abuja,Nigeria,2,256,April,95
Royal Stallon,local,8331.95,Lagos,Nigeria,1,157,May,162
King's Pride,basmati,17489.02,Kumasi,Ghana,1,262,July,496
Mama Gold,basmati,11178.91,Accra,Ghana,5,43,November,803
Royal Stallon,local,9978.56,Abuja,Nigeria,4,99,June,697
Mama Gold,long grain,23834.24,Accra,Ghana,5,46,October,440
Tommy Tasty,local,8645,Kumasi,Ghana,1,115,January,984
Golden Harvest,long grain,14203.46,Abuja,Nigeria,5,289,April,985
Golden Harvest,local,14411.54,Lagos,Nigeria,4,294,December,407
Tommy Tasty,basmati,22284.81,Abuja,Nigeria,4,201,December,325
Sunshine,basmati,23193.11,Abuja,Nigeria,3,88,May,321
Golden Harvest,Basmati,12558.39,Lagos,Nigeria,4,38,April,181
Uncle Sam,local,16050.87,Lagos,Nigeria,2,110,November,715
King's Pride,local,8780.3,Abuja,Nigeria,5,295,February,300
Caprice,basmati,13560.51,Lagos,Nigeria,5,86,October,280
Mama Gold,basmati,23223.74,Accra,Ghana,1,205,November,67
King's Pride,LONG GRAIN,12677.27,Accra,Ghana,3,131,April,982
Mama Gold,long grain,23161.84,Lagos,Nigeria,2,284,October,461
King's Pride,long grain,9655.14,Lagos,Nigeria,3,37,November,336
Caprice,long grain,18366.8,Accra,Ghana,2,131,November,68
Uncle Sam,local,8500.88,Lagos,Nigeria,5,148,May,365
Golden Harvest,long grain,12550.61,Kumasi,Ghana,3,168,December,968
Uncle Sam,basmati,18813.18,Lagos,Nigeria,2,173,March,659
Golden Harvest,basmati,21040.75,Abuja,Nigeria,1,101,April,543
Uncle Sam,long grain,21018.54,Abuja,Nigeria,2,246,October,403
Tommy Tasty,long grain,14773.25,Abuja,Nigeria,1,120,November,752
Caprice,basmati,10120.67,Accra,Ghana,3,137,August,536
Caprice,basmati,9209.15,Lagos,Nigeria,3,74,April,942
Caprice,long grain,23576.12,Lagos,Nigeria,1,247,May,348
Royal Stallion,long grain,19850.88,Accra,Ghana,4,203,November,427
Sunshine,local,10324.55,Lagos,Nigeria,5,100,August,809
Golden Harvest,long grain,17104.45,Kumasi,Ghana,5,274,June,713
Caprice,basmati,,Accra,Ghana,1,269,July,405
Uncle Sam,long grain,22715.83,Lagos,Nigeria,5,88,February,765
Royal Stallion,basmati,23423.11,Lagos,Nigeria,5,157,April,99
Mama Gold,local,24610.69,Lagos,Nigeria,4,121,December,878
Golden Harvest,basmati,19376.69,Abuja,Nigeria,1,222,October,413
Sunshine,local,8056.47,Kumasi,Ghana,4,30,August,359
Uncle Sam,long grain,23442.86,Kumasi,Ghana,5,185,September,91
Sunshine,local,10004.43,Kumasi,Ghana,3,278,May,372
Mama Gold,basmati,20823.56,Accra,Ghana,2,137,October,902
Sunshine,basmati,10025.76,Kumasi,Ghana,4,274,February,568
Tommy Tasty,local,16223.01,Lagos,Nigeria,2,73,July,640
Royal Stallion,basmati,12712.86,Lagos,Nigeria,2,102,March,648
Sunshine,local,21234.26,Abuja,Nigeria,1,118,August,55
Golden Harvest,local,23247.64,Kumasi,Ghana,4,72,July,974
Caprice,local,13015.13,Kumasi,Ghana,4,167,July,268
Tommy Tasty,long grain,17916.51,Kumasi,Ghana,1,167,December,742
Mama Gold,local,20352.43,Abuja,Nigeria,1,262,October,299
Uncle Sam,basmati,11132.76,Kumasi,Ghana,4,162,August,261
King's Pride,long grain,15355.41,Kumasi,Ghana,2,0,February,387
Caprice,basmati,15896.45,Kumasi,Ghana,3,274,February,843
Royal Stallion,long grain,10931.76,Accra,Ghana,1,297,October,308
Tommy Tasty,local,22431.63,Kumasi,Ghana,2,142,February,740
Mama Gold,long grain,,Accra,Ghana,3,82,March,806
King's Pride,local,23026.54,Lagos,Nigeria,2,89,August,612
Caprice,local,21447.67,Kumasi,Ghana,4,169,February,765
Golden Harvest,local,21259.24,Acccra,Ghana,1,40,May,921
Caprice,long grain,12080.8,Abuja,Nigeria,2,226,February,976
Tommy Tasty,basmati,10731.45,Abuja,Nigeria,2,86,September,325
Caprice,LONG GRAIN,13277.07,Acccra,Ghana,1,117,September,943
Royal Stallion,basmati,24346.85,Abuja,Nigeria,2,212,March,263
Uncle Sam,basmati,,Accra,Ghana,4,124,October,113
Mama Gold,long grain,11763.68,Kumasi,Ghana,3,220,November,66
Mama Gold,basmati,14075.66,Lagos,Nigeria,1,285,January,71
Mama Gold,local,21910.59,Lagos,Nigeria,5,223,June,550
Tommy Tasty,basmati,21060.26,Kumasi,Ghana,3,118,May,296
Mama Gold,long grain,,Accra,Ghana,2,63,March,944
King's Pride,local,22001.03,Kumasi,Ghana,4,137,October,840
Golden Harvest,basmati,23322.85,Lagos,Nigeria,3,89,October,781
Tommy Tasty,long grain,15952.22,Accra,Ghana,4,37,August,832
Uncle Sam,local,20206.89,Abuja,Nigeria,1,277,January,405
Golden Harvest,local,13624.53,Kumasi,Ghana,1,277,February,968
Tommy Tasty,long grain,,Accra,Ghana,5,229,May,703
Golden Harvest,long grain,8802.76,Lagos,Nigeria,1,214,April,362
Mama Gold,long grain,13891.34,Abuja,Nigeria,4,207,May,370
Mamma Gold,long grain,12424.73,Kumasi,Ghana,1,287,July,761
Tommy Tasty,long grain,14064.19,Abuja,Nigeria,1,34,July,316
Caprice,long grain,11288.77,Lagos,Nigeria,1,116,June,125
Caprice,local,,Accra,Ghana,1,264,October,867
Uncle Sam,LONG GRAIN,12078.24,Abuja,Nigeria,2,115,July,684
Mama Gold,local,21032.84,Kumasi,Ghana,3,146,June,157
Royal Stallion,Long grain,23157.59,Kumasi,Ghana,5,47,March,405
King's Pride,basmati,19451.88,Abuja,Nigeria,3,231,May,734
King's Pride,local,,Accra,Ghana,1,110,December,274
King's Pride,basmati,10826.57,Kumasi,Ghana,2,64,October,542
Sunshine,local,16457.08,Kumasi,Ghana,5,262,March,176
Tommy Tasty,basmati,,Accra,Ghana,1,98,April,254
Sunshine,local,19224.94,Lagos,Nigeria,5,2,February,953
Royal Stallion,basmati,17924.66,Kumasi,Ghana,4,248,December,54
Caprice,long grain,10909.6,Accra,Ghana,1,186,February,827
Caprice,BASMATI,11218.67,Kumaci,Ghana,2,150,June,781
Golden Harvest,long grain,13025.38,Lagos,Nigeria,1,206,July,279
Golden Harvest,local,15624.49,Abuja,Nigeria,3,48,June,890
Tommy Tasty,local,20129.7,Lagos,Nigeria,1,276,November,491
Golden Harvest,local,19795.09,Lagos,Nigeria,5,217,October,688
Royal Stallion,basmati,11615.63,Lagos,Nigeria,2,250,September,137
Sunshine,basmati,24113.7,Accra,Ghana,5,263,November,478
Uncle Sam,long grain,8172.74,Abuja,Nigeria,4,248,June,230
Uncle Sam,local,22757.97,Kumasi,Ghana,5,229,February,867
Mamma Gold,local,,Accra,Ghana,3,156,June,395
Uncle Sam,local,14703.56,Lagos,Nigeria,4,33,May,621
Caprice,basmati,16016.01,Kumasi,Ghana,2,40,January,101
Caprice,local,9632.75,Accra,Ghana,4,267,December,259
Tommy Tasty,basmati,21129.53,Abuja,Nigeria,3,72,November,941
Royal Stallion,local,13413.96,Abuja,Nigeria,1,103,July,852
Sunshine,long grain,11345.98,Lagos,Nigeria,2,192,September,917
Sunshine,basmati,17432.33,Lagos,Nigeria,2,176,February,674
Sunshine,local,8795.91,Accra,Ghana,1,197,February,56
Caprice,basmati,10307.86,Lagos,Nigeria,1,91,April,968
Tommy Tasty,local,20231.18,Accra,Ghana,4,237,March,777
Uncle Sam,basmati,22654.64,Kumasi,Ghana,5,189,January,971
Mamma Gold,local,24624.72,Lagos,Nigeria,1,85,June,242
Mama Gold,local,18851.35,Accra,Ghana,1,246,August,834
Caprice,basmati,18822.65,Abuja,Nigeria,3,147,November,592
Golden Harvest,long grain,20910.13,Lagos,Nigeria,1,257,March,943
Caprice,local,14009.19,Kumasi,Ghana,1,122,February,848
Golden Harvest,local,12194.21,Kumasi,Ghana,4,120,December,227
Golden Harvest,basmati,8982.09,Accra,Ghana,5,63,July,592
Golden Harvest,long grain,23827.69,Lagos,Nigeria,5,184,September,387
Royal Stallion,long grain,11522.74,Abuja,Nigeria,5,99,June,803
King's Pride,long grain,24294.62,Lagos,Nigeria,2,96,May,758
Mama Gold,local,8383.94,Lagos,Nigeria,2,119,October,713
Tommy Tasty,long grain,15499.63,Abuja,Nigeria,4,101,February,479
Tommy Tasty,Basmati,21241.61,Abuja,Nigeria,1,290,December,845
King's Pride,local,13637.82,Kumasi,Ghana,2,124,September,681
Tommy Tasty,local,21328.62,Accra,Ghana,1,219,September,205
Golden Harvest,basmati,11585.51,Accra,Ghana,5,206,April,818
Golden Harvest,basmati,11604.73,Abuja,Nigeria,4,198,February,204
Uncle Sam,long grain,17972.57,Lagos,Nigeria,5,101,March,787
Mama Gold,basmati,18964.46,Accra,Ghana,5,130,November,280
Royal Stallion,local,9375.45,Kumasi,Ghana,2,267,November,64
Mama Gold,BASMATI,22826.59,Accra,Ghana,3,286,June,885
Sunshine,long grain,8691.15,Accra,Ghana,2,278,November,866
King's Pride,basmati,11891.86,Abuja,Nigeria,1,24,July,153
Golden Harvest,local,19947.37,Kumasi,Ghana,1,198,May,545
Uncle Sam,local,10065.39,Kumasi,Ghana,1,182,October,164
Sunshine,long grain,18933.97,Accra,Ghana,1,262,October,389
Uncle Sam,long grain,12869.57,Kumasi,Ghana,4,263,April,913
Sunshine,long grain,10280.79,Abuja,Nigeria,5,151,August,567
Sunshine,basmati,17231.11,Abuja,Nigeria,3,177,July,213
Sunshine,basmati,9274.49,Kumasi,Ghana,4,51,June,698
Golden Harvest,local,19478.38,Abuja,Nigeria,1,177,April,715
Caprice,basmati,10641.85,Lagos,Nigeria,4,256,December,79
Sunshine,long grain,21372.01,Accra,Ghana,3,181,March,384
Royal Stallion,basmati,9912.24,Kumasi,Ghana,3,251,July,366
Tommy Tasty,local,16793.16,Accra,Ghana,2,295,March,549
Mama Gold,local,23533.34,Lagos,Nigeria,4,234,August,234
Tommy Tasty,long grain,17534,Accra,Ghana,4,78,July,785
Caprice,basmati,12195.86,Kumasi,Ghana,5,240,March,303
Sunshine,basmati,22510.61,Abuja,Nigeria,3,225,June,376
Royal Stallion,Long grain,14488.96,Lagos,Nigeria,2,138,June,574
Tommy Tasty,local,20229.68,Abuja,Nigeria,2,88,June,152
Uncle Sam,long grain,12678.98,Lagos,Nigeria,4,28,March,902
Uncle Sam,local,21530.22,Abuja,Nigeria,2,153,March,620
Uncle Sam,local,18872.12,Abuja,Nigeria,5,257,May,939
Mama Gold,local,8732.93,Lagos,Nigeria,2,54,September,293
Golden Harvest,local,8735.72,Abuja,Nigeria,4,248,August,240
Royal Stallion,basmati,9699.06,Accra,Ghana,1,170,April,237
Mama Gold,long grain,16233.73,Accra,Ghana,5,274,July,981
Caprice,long grain,8464.97,Accra,Ghana,2,165,May,766
King's Pride,local,12169.06,Accra,Ghana,1,284,October,418
Golden Harvest,basmati,15936.07,Accra,Ghana,2,203,July,977
Golden Harvest,long grain,18608.28,Kumasi,Ghana,5,37,January,690
Sunshine,long grain,9998.11,Abuja,Nigeria,1,0,September,964
Royal Stallion,long grain,,Accra,Ghana,4,98,April,85
Royal Stallion,LONG GRAIN,14238.41,Abuja,Nigeria,5,84,April,62
Uncle Sam,long grain,19011.69,Lagos,Nigeria,1,231,December,571
Tommy Tasty,long grain,17058.24,Accra,Ghana,5,202,December,415
Caprice,local,23623.67,Accra,Ghana,5,117,March,570
Mama Gold,local,17391.26,Kumasi,Ghana,2,88,April,167
Tommy Tasty,local,22734.81,Lagos,Nigeria,3,7,June,880
Uncle Sam,local,13677.03,Lagos,Nigeria,4,276,October,211
Royal Stallion,long grain,20202.12,Kumasi,Ghana,1,27,January,189
Caprice,long grain,21566.6,Accra,Ghana,2,49,September,81
King's Pride,basmati,15685.28,Kumasi,Ghana,3,256,July,474
King's Pride,local,10665.27,Lagos,Nigeria,5,52,October,166
Caprice,BASMATI,22689.7,Kumasi,Ghana,1,35,August,673
Sunshine,basmati,9757.03,Abuja,Nigeria,3,162,November,623
Golden Harvest,local,22616.12,Lagos,Nigeria,5,107,February,493
Uncle Sam,long grain,13558.75,Kumasi,Ghana,4,207,August,748
Golden Harvest,long grain,14497.73,Lagos,Nigeria,1,3,February,966
Sunshine,Long grain,13152.97,lagos,Nigeria,4,300,November,374
Golden Harvest,local,14485.51,Abuja,Nigeria,4,137,March,802
Golden Harvest,basmati,15014,Accra,Ghana,2,283,November,369
King's Pride,long grain,8292.98,Acccra,Ghana,1,179,November,411
Tommy Tasty,local,,Accra,Ghana,1,145,January,276
King's Pride,basmati,9147.15,Accra,Ghana,3,274,June,135
Golden Harvest,basmati,14700.59,Kumasi,Ghana,5,59,April,753
King's Pride,long grain,18982.77,Abuja,Nigeria,4,282,June,536
Tommy Tasty,basmati,21951.14,Lagos,Nigeria,3,79,August,560
Caprice,local,,Accra,Ghana,3,197,November,73
Sunshine,basmati,24296.83,Lagos,Nigeria,5,212,July,707
Uncle Sam,long grain,24361.94,Lagos,Nigeria,1,11,April,791
Golden Harvest,local,14485.51,Abuja,Nigeria,4,137,March,802
Golden Harvest,basmati,15014,Accra,Ghana,2,283,November,369
King's Pride,long grain,8292.98,Acccra,Ghana,1,179,November,411
Tommy Tasty,local,,Accra,Ghana,1,145,January,276
Sunshine,local,12151.41,Kumasi,Ghana,1,35,July,426
Sunshine,local,22672.09,Kumasi,Ghana,5,44,August,492
Uncle Sam,basmati,15235.48,Kumasi,Ghana,1,278,June,916
Uncle Sam,basmati,17989.23,Kumasi,Ghana,5,26,October,993
King's Pride,basmati,12091.96,Lagos,Nigeria,4,97,November,922
Caprice,long grain,12370.2,Lagos,Nigeria,3,50,April,800
Uncle Sam,basmati,16299.85,Accra,Ghana,5,276,March,558
Royal Stallion,long grain,17895.77,Accra,Ghana,5,6,October,625
Mama Gold,long grain,,Accra,Ghana,4,193,November,947
Tommy Tasty,long grain,24409.76,Accra,Ghana,4,122,February,614
Uncle Sam,basmati,21420.57,Abuja,Nigeria,4,296,July,484
Mama Gold,LONG GRAIN,,Accra,Ghana,4,156,July,987
Mama Gold,basmati,15620.39,Accra,Ghana,5,9,March,83
Golden Harvest,LONG GRAIN,18304.86,Lagos,Nigeria,1,41,May,524
Mama Gold,basmati,24422.05,Abuja,Nigeria,2,180,May,916
Royal Stallion,long grain,11975.51,Kumasi,Ghana,3,73,June,466
Mama Gold,long grain,18779.53,Kumasi,Ghana,4,25,November,126
Royal Stallion,local,,Acccra,Ghana,4,233,October,493
Golden Harvest,local,13415.57,Accra,Ghana,1,271,December,730
Golden Harvest,local,9078.26,Accra,Ghana,3,262,December,119
Golden Harvest,local,18187.51,Kumasi,Ghana,3,195,February,933
King's Pride,long grain,14618.2,Abuja,Nigeria,2,63,April,704
Sunshine,long grain,15434.83,Lagos,Nigeria,1,120,July,893
Caprice,basmati,11277.24,Lagos,Nigeria,5,157,March,324
Uncle Sam,local,,Accra,Ghana,1,146,August,991
Mama Gold,local,22669.43,Accra,Ghana,1,79,December,501
Mama Gold,basmati,12910.1,Abuja,Nigeria,3,164,July,59
King's Pride,local,22024.71,Accra,Ghana,4,18,August,57
Royal Stallion,basmati,15330.59,Kumasi,Ghana,2,217,February,326
King's Pride,long grain,18539.25,Abuja,Nigeria,2,109,October,73
King's Pride,basmati,23362.97,Abuja,Nigeria,3,110,April,360
Sunshine,basmati,9418.75,Kumasi,Ghana,1,214,June,551
Uncle Sam,basmati,18495.06,Abuja,Nigeria,2,16,December,675
King's Pride,Basmati,10496.2,Abuja,Nigeria,2,204,March,809
Royal Stallion,basmati,10646.07,Accra,Ghana,3,252,May,692
Tommy Tasty,local,12160.87,Lagos,Nigeria,3,120,October,69
King's Pride,basmati,15128.41,Lagos,Nigeria,4,250,February,244
Sunshine,basmati,12679.46,Abuja,Nigeria,1,175,February,629
King's Pride,local,,Accra,Ghana,1,293,May,939
Sunshine,basmati,23129.07,Abuja,Nigeria,1,237,June,961
King's Pride,local,,Accra,Ghana,3,33,June,436
Royal Stallion,basmati,11464.43,Abuja,Nigeria,1,237,May,795
Caprice,basmati,24265.92,Accra,Ghana,3,50,August,892
Tommy Tasty,local,23005.51,Kumasi,Ghana,4,12,January,891
Caprice,local,,Accra,Ghana,2,118,September,76
Sunshine,basmati,17987.51,Abuja,Nigeria,1,236,March,299
Uncle Sam,basmati,10548.7,Kumasi,Ghana,5,116,March,553
Royal Stallion,local,14131.6,Kumasi,Ghana,2,35,December,523
Caprice,basmati,21384.95,Kumasi,Ghana,4,281,February,537
Royal Stallion,basmati,20837.04,Kumasi,Ghana,2,248,May,903
Mama Gold,long grain,8922.46,Abuja,Nigeria,4,124,August,183
Tommy Tasty,basmati,24215.03,Abuja,Nigeria,2,173,March,858
Tommy Tasty,long grain,17626.23,Lagos,Nigeria,4,211,October,125
Uncle Sam,long grain,21334.11,Lagos,Nigeria,3,280,November,217
King's Pride,basmati,21466.73,Lagos,Nigeria,4,11,October,902
Uncle Sam,basmati,10547.77,Lagos,Nigeria,4,186,August,235
King's Pride,basmati,,Accra,Ghana,4,206,July,202
Mama Gold,local,12582.69,Lagos,Nigeria,3,130,September,764
Golden Harvest,local,21055.31,Abuja,Nigeria,3,61,December,868
Uncl Sam,BASMATI,22255.45,Lagos,Nigeria,1,245,February,770
Sunshine,local,14756.73,Abuja,Nigeria,3,119,February,766
Mama Gold,long grain,,Accra,Ghana,4,49,May,358
Tommy Tasty,long grain,16282.88,Kumasi,Ghana,2,178,June,494
Tommy Tasty,local,14969.9,Abuja,Nigeria,3,150,November,418
Tommy Tasty,basmati,8562.28,Accra,Ghana,3,197,May,994
Sunshine,long grain,19428.9,Lagos,Nigeria,1,105,November,208
Tommy Tasty,basmati,9089.45,Abuja,Nigeria,5,235,December,659
King's Pride,local,18537.93,Kumasi,Ghana,5,244,November,636
Golden Harvest,long grain,20918.09,Kumasi,Ghana,3,194,September,309
Tommy Tasty,local,20431.95,Kumasi,Ghana,2,245,April,462
Tommy Tasty,basmati,14981.75,Abuja,Nigeria,1,161,January,428
Sunshine,basmati,21115.75,Lagos,Nigeria,3,110,January,198
Mama Gold,local,10832.4,Accra,Ghana,1,106,February,946
King's Pride,long grain,,Accra,Ghana,4,188,April,82
Mama Gold,local,14236.48,Kumasi,Ghana,3,153,May,347
Caprice,long grain,16397.64,Kumasi,Ghana,5,259,January,832
Golden Harvest,local,12702.2,Abuja,Nigeria,3,121,February,825
Caprice,local,22586.75,Lagos,Nigeria,2,21,April,351
Mama Gold,local,19029.05,Kumasi,Ghana,1,11,May,796
Tommy Tasty,Long grain,19889.35,Abuja,Nigeria,3,56,November,404
Caprice,long grain,19111.69,Kumasi,Ghana,2,23,August,547
Sunshine,long grain,13802.19,Lagos,Nigeria,3,87,August,588
Uncle Sam,Local,15265.45,Abuja,Nigeria,1,285,August,649
Uncle Sam,basmati,10548.7,Kumasi,Ghana,5,116,March,553
Royal Stallion,local,14131.6,Kumasi,Ghana,2,35,December,523
Caprice,basmati,21384.95,Kumasi,Ghana,4,281,February,537
Royal Stallion,basmati,20837.04,Kumasi,Ghana,2,248,May,903
Mama Gold,long grain,8922.46,Abuja,Nigeria,4,124,August,183
Tommy Tasty,long grain,9732.88,Accra,Ghana,2,129,October,333
Uncle Sam,basmati,23236.22,Kumasi,Ghana,2,227,November,988
King's Pride,local,,Accra,Ghana,3,145,January,272
Golden Harvest,basmati,21103.81,Kumasi,Ghana,5,90,December,166
Golden Harvest,long grain,21291.6,Accra,Ghana,4,292,June,581
Sunshine,long grain,,Accra,Ghana,4,266,October,777
Caprice,local,23695.29,Accra,Ghana,5,35,January,569
Royal Stallion,basmati,14612.79,Abuja,Nigeria,5,145,September,185
Caprice,long grain,15881.89,Accra,Ghana,3,22,July,712
Caprice,basmati,24500.9,Kumasi,Ghana,2,62,September,870
Golden Harvest,basmati,13610.92,Kumasi,Ghana,5,102,February,248
Caprice,long grain,18536.55,Kumasi,Ghana,5,87,August,428
Royal Stallon,basmati,14242.18,Accra,Ghana,1,270,October,724
Royal Stallion,local,,Accra,Ghana,4,30,April,129
Royal Stallion,local,8714.44,Abuja,Nigeria,3,154,December,733
Royal Stallion,Basmati,12921.74,Accra,Ghana,1,159,October,245
Caprice,basmati,23576.5,Accra,Ghana,3,180,September,290
Tommy Tasty,Basmati,15292.6,Abuja,Nigeria,3,274,April,487
Royal Stallion,long grain,,Accra,Ghana,5,3,November,680
Sunshine,long grain,23456.7,Lagos,Nigeria,3,198,September,930
